State,Abbreviation,Capital,Population,Area(m2),Land Area,Water Area ,Number reps
 Alabama,AL,Montgomery,4903185.00,52420.00,50645.00,1775.00,7
 Alaska,AK,Juneau,731545.00,665384.00,570641.00,94743.00,1
 Arizona,AZ,Phoenix,113990.00,295234.00,294207.00,1026.00,
 Arkansas,AR,Little Rock,53179.00,137732.00,134771.00,2961.00,
 California,CA,Sacramento,39512223.00,163695.00,155779.00,7916.00,53
 Colorado,CO,Denver,104094.00,269601.00,268431.00,1170.00,
 Connecticut,CT,Hartford,3565278.00,5543.00,4842.00,701.00,5
 Delaware,DE,Dover,973764.00,2489.00,1949.00,540.00,1
 Florida,FL,Tallahassee,21477737.00,65758.00,53625.00,12133.00,27
 Georgia,GA,Atlanta,59425.00,153910.00,148959.00,4951.00,
 Hawaii,HI,Honolulu,10932.00,28313.00,16635.00,11678.00,
 Idaho,ID,Boise,83569.00,216443.00,214045.00,2398.00,
 Illinois,IL,Springfield,12671821.00,57914.00,55519.00,2395.00,18
 Indiana,IN,Indianapolis,36420.00,94326.00,92789.00,1537.00,
 Iowa,IA,Des Moines,56273.00,145746.00,144669.00,1077.00,
 Kansas,KS,Topeka,2913314.00,82278.00,81759.00,520.00,4
 Kentucky,KY,Frankfort,4467673.00,40408.00,39486.00,921.00,6
 Louisiana,LA,Baton Rouge,4648794.00,52378.00,43204.00,9174.00,6
 Maine,ME,Augusta,1344212.00,35380.00,30843.00,4537.00,2
 Maryland,MD,Annapolis,6045680.00,12406.00,9707.00,2699.00,8
 Massachusetts,MA,Boston,10554.00,27336.00,20202.00,7134.00,
 Michigan,MI,Lansing,9986857.00,96714.00,56539.00,40175.00,14
 Minnesota,MN,St. Paul,5639632.00,86936.00,79627.00,7309.00,8
 Mississippi,MS,Jackson,48432.00,125438.00,121531.00,3907.00,
 Missouri,MO,Jefferson City,6137428.00,69707.00,68742.00,965.00,8
 Montana,MT,Helena,1068778.00,147040.00,145546.00,1494.00,1
 Nebraska,NE,Lincoln,1934408.00,77348.00,76824.00,524.00,3
 Nevada,NV,Carson City,3080156.00,110572.00,109781.00,791.00,4
 New Hampshire,NH,Concord,1359711.00,9349.00,8953.00,397.00,2
 New Jersey,NJ,Trenton,8882190.00,8723.00,7354.00,1368.00,12
 New Mexico,NM,Santa Fe,2096829.00,121590.00,121298.00,292.00,3
 New York,NY,Albany,19453561.00,54555.00,47126.00,7429.00,27
 North Carolina,NC,Raleigh,10488084.00,53819.00,48618.00,5201.00,13
 North Dakota,ND,Bismarck,762062.00,70698.00,69001.00,1698.00,1
 Ohio,OH,Columbus,44826.00,116098.00,105829.00,10269.00,
 Oklahoma,OK,Oklahoma City,69899.00,181037.00,177660.00,3377.00,
 Oregon,OR,Salem,4217737.00,98379.00,95988.00,2391.00,5
 Pennsylvania,PA,Harrisburg,12801989.00,46054.00,44743.00,1312.00,18
 Rhode Island,RI,Providence,1545.00,4001.00,2678.00,1324.00,
 South Carolina,SC,Columbia,5148714.00,32020.00,30061.00,1960.00,7
 South Dakota,SD,Pierre,884659.00,77116.00,75811.00,1305.00,1
 Tennessee,TN,Nashville,42144.00,109153.00,106798.00,2355.00,
 Texas,TX,Austin,28995881.00,268596.00,261232.00,7365.00,36
 Utah,UT,Salt Lake City,84897.00,219882.00,212818.00,7064.00,
 Vermont,VT,Montpelier,623989.00,9616.00,9217.00,400.00,1
 Virginia,VA,Richmond,8535519.00,42775.00,39490.00,3285.00,11
 Washington,WA,Olympia,7614893.00,71298.00,66456.00,4842.00,10
 West Virginia,WV,Charleston,24230.00,62756.00,62259.00,497.00,
 Wisconsin,WI,Madison,5822434.00,65496.00,54158.00,11339.00,8
 Wyoming,WY,Cheyenne,97813.00,253335.00,251470.00,1864.00,
