Fact	Fact Note	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	Florida	Georgia	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
Abbreviation		AL	AK	AZ	AR	CA	CO	CT	DE	FL	GA	HI	ID	IL	IN	IA	KS	KY	LA	ME	MD	MA	MI	MN	MS	MO	MT	NE	NV	NH	NJ	NM	NY	NC	ND	OH	OK	OR	PA	RI	SC	SD	TN	TX	UT	VT	VA	WA	WV	WI	WY
"Population estimates, July 1, 2019,  (V2019)"		4903185	731545	7278717	3017804	39512223	5758736	3565287	973764	21477737	10617423	1415872	1787065	12671821	6732219	3155070	2913314	4467673	4648794	1344212	6045680	6892503	9986857	5639632	2976149	6137428	1068778	1934408	3080156	1359711	8882190	2096829	19453561	10488084	762062	11689100	3956971	4217737	12801989	1059361	5148714	884659	6829174	28995881	3205958	623989	8535519	7614893	1792147	5822434	578759
"Population estimates base, April 1, 2010,  (V2019)"		4780125	710249	6392288	2916031	37254519	5029319	3574147	897937	18804564	9688729	1360307	1567657	12831572	6484051	3046871	2853123	4339333	4533487	1328358	5773794	6547785	9884116	5303927	2968130	5988950	989407	1826305	2700677	1316462	8791978	2059199	19378144	9535751	672576	11536751	3751582	3831079	12702868	1052964	4625366	814198	6346276	25146091	2763891	625737	8001049	6724540	1853018	5687285	563775
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)"		2.60%	3.00%	13.90%	3.50%	6.10%	14.50%	-0.20%	8.40%	14.20%	9.60%	4.10%	14.00%	-1.20%	3.80%	3.60%	2.10%	3.00%	2.50%	1.20%	4.70%	5.30%	1.00%	6.30%	0.30%	2.50%	8.00%	5.90%	14.10%	3.30%	1.00%	1.80%	0.40%	10.00%	13.30%	1.30%	5.50%	10.10%	0.80%	0.60%	11.30%	8.70%	7.60%	15.30%	16.00%	-0.30%	6.70%	13.20%	-3.30%	2.40%	2.70%
"Population, Census, April 1, 2010"		"4,779,736"	"710,231"	"6,392,017"	"2,915,918"	"37,253,956"	"5,029,196"	"3,574,097"	"897,934"	"18,801,310"	"9,687,653"	"1,360,301"	"1,567,582"	"12,830,632"	"6,483,802"	"3,046,355"	"2,853,118"	"4,339,367"	"4,533,372"	"1,328,361"	"5,773,552"	"6,547,629"	"9,883,640"	"5,303,925"	"2,967,297"	"5,988,927"	"989,415"	"1,826,341"	"2,700,551"	"1,316,470"	"8,791,894"	"2,059,179"	"19,378,102"	"9,535,483"	"672,591"	"11,536,504"	"3,751,351"	"3,831,074"	"12,702,379"	"1,052,567"	"4,625,364"	"814,180"	"6,346,105"	"25,145,561"	"2,763,885"	"625,741"	"8,001,024"	"6,724,540"	"1,852,994"	"5,686,986"	"563,626"
"Persons under 5 years, percent"		6.00%	7.20%	6.10%	6.30%	6.20%	5.90%	5.10%	5.70%	5.40%	6.20%	6.20%	6.60%	6.00%	6.30%	6.30%	6.50%	6.20%	6.60%	4.80%	6.00%	5.20%	5.70%	6.30%	6.20%	6.10%	5.90%	6.90%	6.10%	4.70%	5.80%	5.90%	5.80%	5.90%	7.20%	5.90%	6.60%	5.60%	5.50%	5.10%	5.80%	7.00%	6.00%	7.10%	8.00%	4.70%	6.00%	6.10%	5.30%	5.80%	6.20%
"Persons under 18 years, percent"		22.30%	24.90%	22.90%	23.30%	22.70%	22.20%	20.60%	21.10%	19.90%	23.80%	21.40%	25.50%	22.40%	23.40%	23.20%	24.20%	22.60%	23.50%	18.70%	22.20%	19.80%	21.70%	23.20%	23.60%	22.50%	21.60%	24.70%	22.70%	19.00%	21.90%	23.00%	20.80%	22.20%	23.50%	22.20%	24.30%	20.80%	20.70%	19.40%	21.80%	24.70%	22.20%	25.80%	29.50%	18.50%	22.00%	22.10%	20.20%	22.00%	23.30%
"Persons 65 years and over, percent"		16.90%	11.80%	17.50%	17.00%	14.30%	14.20%	17.20%	18.70%	20.50%	13.90%	18.40%	15.90%	15.60%	15.80%	17.10%	15.90%	16.40%	15.40%	20.60%	15.40%	16.50%	17.20%	15.90%	15.90%	16.90%	18.70%	15.70%	15.70%	18.10%	16.10%	17.50%	16.40%	16.30%	15.30%	17.10%	15.70%	17.60%	18.20%	17.20%	17.70%	16.60%	16.40%	12.60%	11.10%	19.40%	15.40%	15.40%	19.90%	17.00%	16.50%
"Female persons, percent"		51.60%	47.90%	50.30%	50.90%	50.30%	49.60%	51.20%	51.60%	51.10%	51.40%	49.90%	49.90%	50.90%	50.70%	50.20%	50.20%	50.70%	51.20%	51.00%	51.50%	51.50%	50.80%	50.20%	51.50%	50.90%	49.70%	50.10%	49.90%	50.40%	51.10%	50.50%	51.40%	51.40%	48.80%	51.00%	50.50%	50.40%	51.00%	51.40%	51.50%	49.50%	51.20%	50.30%	49.60%	50.60%	50.80%	50.00%	50.50%	50.20%	49.00%
"White alone, percent"		69.10%	65.30%	82.80%	79.10%	72.10%	87.10%	80.00%	69.50%	77.30%	60.50%	25.60%	93.00%	76.90%	85.10%	90.70%	86.40%	87.60%	62.90%	94.60%	58.80%	80.80%	79.30%	84.10%	59.10%	83.00%	89.00%	88.30%	74.30%	93.20%	72.00%	82.00%	69.70%	70.60%	87.00%	81.90%	74.20%	86.80%	81.80%	83.90%	68.50%	84.40%	78.50%	78.80%	90.70%	94.20%	69.50%	78.90%	93.50%	87.10%	92.60%
