date,Ab,pos_total,pos_known_white ,pos_known_black ,pos_known_latinx_hisp,pos_known_asian,pos_known_hisp,deaths_total,deaths_known_white ,deaths_known_black ,deaths_known_latinx_hisp,deaths_known_asian,deaths_known_hisp
20200617,AK,696,398,17,,59,49,12,7,0,,2,0
20200617,AL,27312,9481,11080,,118,2712,790,380,359,,5,18
20200617,AR,13606,6303,3575,,123,3040,197,110,61,,1,13
20200617,AS,,,,,,,,,,,,
20200617,AZ,40924,7115,1087,10518,351,10518,1239,544,37,244,15,244
20200617,CA,157015,19766,5128,63202,8538,63202,5208,1660,479,2029,734,2029
20200617,CO,29673,10228,1700,11438,789,11438,1631,1019,108,343,55,343
20200617,CT,45429,15676,5908,8378,661,8378,4219,3080,627,357,45,357
20200617,DC,9847,1989,4932,,159,2856,523,56,388,67,7,67
20200617,DE,10444,3045,2779,2988,159,2988,426,259,114,27,1,27
20200617,FL,82719,19886,15028,29513,,29513,3018,1471,627,738,,738
20200617,GA,60030,15376,18254,9372,925,9372,2575,1150,1230,122,39,122
20200617,GU,192,13,,,86,,5,,,,,
20200617,HI,744,158,7,,242,,17,,,,,
20200617,IA,24523,15206,2452,,1716,6622,675,533,33,,20,47
20200617,ID,3632,1897,64,,48,873,88,84,1,,2,6
20200617,IL,134185,26830,22296,43765,3872,43765,6485,2856,1832,1301,306,1301
20200617,IN,41013,18254,5234,,650,4769,2289,1469,345,,11,43
20200617,KS,11681,7472,1113,,716,5134,247,172,60,,8,31
20200617,KY,12995,6533,1351,,427,1139,518,385,82,,8,18
20200617,LA,48634,,,,,,3062,1365,1618,,23,61
20200617,MA,106151,31314,9978,20274,2229,20274,7734,5684,634,525,208,525
20200617,MD,62969,12244,18017,17020,1225,17020,2996,1281,1221,311,116,311
20200617,ME,2836,1698,668,,39,78,102,89,1,,,0
20200617,MI,66497,25430,19667,,1492,4654,6036,3110,2404,,79,120
20200617,MN,31296,11602,6807,,2247,7044,1325,936,95,,41,39
20200617,MO,16625,7285,4990,,,1620,909,528,319,,,22
20200617,MP,30,,,,,,2,,,,,
20200617,MS,20641,5466,10671,1134,64,1134,938,388,476,15,0,15
20200617,MT,630,514,2,,1,51,20,13,,,,
20200617,NC,46855,17687,8344,,788,14089,1168,670,377,,18,85
20200617,ND,3166,,,,,,74,,,,,
20200617,NE,17226,7066,883,,883,6057,234,114,10,,9,30
20200617,NH,5436,3305,280,441,138,441,330,244,6,9,3,9
20200617,NJ,167703,59534,28677,50981,8552,50981,12769,6882,2362,2592,715,2592
20200617,NM,10065,1165,204,2723,62,2723,452,98,4,59,1,59
20200617,NV,11842,2511,803,3342,772,3342,473,220,58,73,66,73
20200617,NY,385142,,,,,,26564,8078,5925,6269,1595,6269
20200617,OH,42422,21470,10616,,1368,3427,2611,2040,472,,27,51
20200617,OK,8904,5479,749,,507,1789,364,279,28,,4,12
20200617,OR,6218,2689,231,,236,2139,183,135,6,,8,20
20200617,PA,79818,23100,10100,,1200,6400,6319,4419,1296,,144,357
20200617,PR,6003,,,,,,147,,,,,
20200617,RI,16213,4303,1496,5529,,5529,876,583,44,72,,72
20200617,SC,20556,7426,6389,,345,2496,617,267,273,,5,17
20200617,SD,6050,1980,954,999,668,999,78,,,,,
20200617,TN,32143,13596,6801,,487,8484,497,282,166,,10,35
20200617,TX,96335,5027,2182,6382,563,6382,2062,269,85,171,13,171
20200617,UT,15344,5279,480,6522,367,6522,149,83,5,37,7,37
20200617,VA,55775,11518,7852,19032,1896,19032,1583,858,342,159,91,159
20200617,VI,73,,,,,,6,,,,,
20200617,VT,1130,946,89,,48,28,55,52,,,2,0
20200617,WA,26784,7088,1175,8579,1246,8579,1226,833,37,132,106,132
20200617,WI,23454,12544,4341,,931,7708,712,489,173,,20,77
20200617,WV,2376,1895,164,,,,88,58,3,,,
20200617,WY,884,444,9,106,5,106,18,7,0,1,0,1
20200614,AK,661,378,17,,58,48,12,7,0,,2,0
20200614,AL,25615,8976,10497,,113,2488,773,375,350,,5,18
